X,Y,Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,Number_of_,Descript_1,Co_ordinat
0.122936900000000,52.193799400000003,"66",A1134 Trumpington Rd,,,,,"-1","0","-1",,,"1",,"52.1937994, 0.1229369"
0.110948400000000,52.215381299999997,"67",B1049 Histon Rd,,,,,"-1","0","-1",,,"1",,"52.2153813, 0.1109484"
0.132069000000000,52.202109000000000,"68",Mill Rd,,,,,"-1","0","-1",,,"1",,"52.202109, 0.132069"
0.127787000000000,52.198763000000000,"69",A1307 Hills Rd,,,,,"-1","0","-1",,,"2",,"52.198763, 0.127787"
0.115805000000000,52.215904000000002,"70",Harvey Goodwin Ave,,,,,"-1","0","-1",,,"1",,"52.215904, 0.115805"
0.117775000000000,52.215519999999998,"71",Garden Walk,,,,,"-1","0","-1",,,"1",,"52.215520, 0.117775"
0.126043000000000,52.216701000000000,"72",Gilbert Rd,,,,,"-1","0","-1",,,"1",,"52.216701, 0.126043"
0.135456600000000,52.216907700000000,"73",High St,,,,,"-1","0","-1",,,"1",,"52.2169077, 0.1354566"
0.130228000000000,52.218595999999998,"74",Hurst Park Ave,,,,,"-1","0","-1",,,"1",,"52.218596, 0.130228"
0.134393000000000,52.205052000000002,"75",Norfolk St,,,,,"-1","0","-1",,,"1",,"52.205052, 0.134393"
0.136873800000000,52.206564399999998,"76",St Matthew's St,,,,,"-1","0","-1",,,"1",,"52.2065644, 0.1368738"
0.124301800000000,52.197720799999999,"77",Panton St,,,,,"-1","0","-1",,,"1",,"52.1977208, 0.1243018"
0.122543900000000,52.197423499999999,"78",Brookside,,,,,"-1","0","-1",,,"1",,"52.1974235, 0.1225439"
0.111301000000000,52.200389000000001,"79",Sidgwick Ave,,,,,"-1","0","-1",,,"1",,"52.200389, 0.111301"
0.110923000000000,52.202855000000000,"80",West Rd,,,,,"-1","0","-1",,,"1",,"52.202855, 0.110923"
0.128909000000000,52.217942999999998,"81",Ascham Rd,,,,,"-1","0","-1",,,"1",,"52.217943, 0.128909"
0.115659000000000,52.210355999999997,"82",Magdalene St,,,,,"-1","0","-1",,,"1",,"52.210356, 0.115659"
0.125721000000000,52.213748000000002,"83",Victoria Ave,,,,,"-1","0","-1",,,"1",,"52.213748, 0.125721"
0.128059000000000,52.214576999999998,"84",Ferry Path,,,,,"-1","0","-1",,,"1",,"52.214577, 0.128059"
0.131698000000000,52.215426999999998,"85",De Freville Ave,,,,,"-1","0","-1",,,"1",,"52.215427, 0.131698"
0.135612900000000,52.208382100000001,"86",Newmarket Rd,,,,,"-1","0","-1",,,"1",,"52.2083821, 0.1356129"
0.136073600000000,52.207060200000001,"87",Nelson Cl/ Wellington St,,,,,"-1","0","-1",,,"4",,"52.2070602, 0.1360736"
0.134289900000000,52.205926099999999,"89",Crispin Pl,,,,,"-1","0","-1",,,"1",,"52.2059261, 0.1342899"
0.132894000000000,52.204399000000002,"90",Dover St,,,,,"-1","0","-1",,,"1",,"52.204399, 0.132894"
0.129814900000000,52.203096299999999,"91",Parkside,,,,,"-1","0","-1",,,"1",,"52.2030963, 0.1298149"
0.125229100000000,52.201611600000000,"92",Regent St,,,,,"-1","0","-1",,,"1",,"52.2016116, 0.1252291"
0.123656000000000,52.198213000000003,"93",Tennis Ct Rd,,,,,"-1","0","-1",,,"1",,"52.198213, 0.123656"
0.121418000000000,52.199230000000000,"94",Trumpington St,,,,,"-1","0","-1",,,"1",,"52.199230, 0.121418"
0.114799000000000,52.201495000000001,"95",Silver St,,,,,"-1","0","-1",,,"1",,"52.201495, 0.114799"
0.132495700000000,52.215151700000000,"96",Sandy Lane,,,,,"-1","0","-1",,,"1",,"52.2151517, 0.1324957"
