OBJECTID,Shape_Leng,GroupCount,vertex_ind,vertex_par,vertex_p_1,distance,angle,x,y
"1",364.48617707900,3384.000000,"0","0","0",0.00000000000000,233.63334969311131,11319.02400,6828968.86350
"1",364.48617707900,3384.000000,"1","0","1",113.62588290523196,236.81596116044236,11227.52800,6828901.48900
"1",364.48617707900,3384.000000,"2","0","2",182.25892145624192,239.99566062842953,11168.09090,6828867.17100
"1",364.48617707900,3384.000000,"3","0","3",364.48617707885342,239.99274862908564,11010.28900,6828776.03740
"2",287.94352347900,3384.000000,"0","0","0",0.00000000000000,232.00591726288803,11010.28900,6828776.03740
"2",287.94352347900,3384.000000,"1","0","1",287.94352347927344,232.00591726288803,10783.36810,6828598.78510
"3",21.26570772660,826.000000,"0","0","0",0.00000000000000,186.04420564441347,11378.60570,6829130.84260
"3",21.26570772660,826.000000,"1","0","1",10.63290885458870,186.04396608058113,11377.48610,6829120.26880
"3",21.26570772660,826.000000,"2","0","2",21.26570772660924,186.04372651674879,11376.36660,6829109.69510
"4",84.85154343590,3797.000000,"0","0","0",0.00000000000000,183.85464202250589,11371.18540,6829032.80550
"4",84.85154343590,3797.000000,"1","0","1",3.92708380990180,183.85664953637587,11370.92140,6829028.88730
"4",84.85154343590,3797.000000,"2","0","2",11.12520124473975,204.03668288654643,11370.43700,6829021.70550
"4",84.85154343590,3797.000000,"3","0","3",84.85154343593528,224.21470872284701,11319.02400,6828968.86350
"5",77.06396967310,826.000000,"0","0","0",0.00000000000000,183.85504400231324,11376.36660,6829109.69510
"5",77.06396967310,826.000000,"1","0","1",77.06396967307057,183.85504400231324,11371.18540,6829032.80550
"6",115.15409816900,1960.000000,"0","0","0",0.00000000000000,245.62733830949924,11537.91020,6829292.64990
"6",115.15409816900,1960.000000,"1","0","1",40.61212553065188,236.50360146800017,11500.91740,6829275.89050
"6",115.15409816900,1960.000000,"2","0","2",52.29207785237818,227.35985365085631,11492.32260,6829267.98160
"6",115.15409816900,1960.000000,"3","0","3",57.56767461279188,227.35115254374307,11488.44300,6829264.40660
"6",115.15409816900,1960.000000,"4","0","4",86.57168376294402,227.39601737556103,11467.10610,6829244.76050
"6",115.15409816900,1960.000000,"5","0","5",104.62160692968246,225.47307967356932,11453.81330,6829232.54980
"6",115.15409816900,1960.000000,"6","0","6",115.15409816896160,223.51658700829088,11446.56100,6829224.91190
"7",118.03707616200,376.000000,"0","0","0",0.00000000000000,223.50324126161149,11446.56100,6829224.91190
"7",118.03707616200,376.000000,"1","0","1",5.77967079652624,223.50970368206379,11442.58230,6829220.71970
"7",118.03707616200,376.000000,"2","0","2",11.58236708986963,223.44202931444977,11438.58680,6829216.51170
"7",118.03707616200,376.000000,"3","0","3",32.29273428054423,223.38331553856801,11424.36540,6829201.45610
"7",118.03707616200,376.000000,"4","0","4",59.00188991611698,223.39762246976321,11406.01430,6829182.04950
"7",118.03707616200,376.000000,"5","0","5",64.79366539649668,223.39937449974079,11402.03510,6829177.84110
"7",118.03707616200,376.000000,"6","0","6",77.64622691142834,212.29494159924323,11393.20390,6829168.50310
"7",118.03707616200,376.000000,"7","0","7",118.03707616236886,201.18764058777859,11378.60570,6829130.84260
"8",85.42011740490,6110.000000,"0","0","0",0.00000000000000,228.41276927945069,11693.23170,6829351.52580
"8",85.42011740490,6110.000000,"1","0","1",63.74537406152302,243.36545424623739,11645.55360,6829309.21420
"8",85.42011740490,6110.000000,"2","0","2",74.41323793262012,258.29512879629004,11635.10670,6829307.05420
"8",85.42011740490,6110.000000,"3","0","3",85.42011740485418,258.27211837955610,11624.32960,6829304.81690
"9",63.34776647260,2658.000000,"0","0","0",0.00000000000000,258.27203236911970,11624.32960,6829304.81690
"9",63.34776647260,2658.000000,"1","0","1",63.34776647260490,258.27203236911970,11562.30430,6829291.94050
"10",24.40441277990,1960.000000,"0","0","0",0.00000000000000,271.66574459659523,11562.30430,6829291.94050
"10",24.40441277990,1960.000000,"1","0","1",12.20215641207013,271.66573777213563,11550.10730,6829292.29520
"10",24.40441277990,1960.000000,"2","0","2",24.40441277985075,271.66573094767608,11537.91020,6829292.64990
"11",92.20339228620,8668.000000,"0","0","0",0.00000000000000,212.69147766497133,11693.23170,6829351.52580
"11",92.20339228620,8668.000000,"1","0","1",15.20286935849598,212.69143031047017,11685.02040,6829338.73120
"11",92.20339228620,8668.000000,"2","0","2",75.77307279463382,212.70372929497563,11652.30560,6829287.75580
"11",92.20339228620,8668.000000,"3","0","3",92.20339228617736,212.71607563398231,11643.42540,6829273.93200
"12",34.25224190300,2558.000000,"0","0","0",0.00000000000000,181.65827589399791,11643.07310,6829214.52990
"12",34.25224190300,2558.000000,"1","0","1",17.12607242206866,181.65810385153131,11642.57750,6829197.41100
"12",34.25224190300,2558.000000,"2","0","2",34.25224190303605,181.65793180906465,11642.08200,6829180.29200
"13",111.64804238800,3837.000000,"0","0","0",0.00000000000000,204.80561383116049,11642.08200,6829180.29200
"13",111.64804238800,3837.000000,"1","0","1",49.66474978738678,214.50377578533971,11621.24560,6829135.20950
"13",111.64804238800,3837.000000,"2","0","2",50.21811452425004,224.10523313419952,11620.85980,6829134.81280
"13",111.64804238800,3837.000000,"3","0","3",55.84519352114636,224.00071054356613,11616.95030,6829130.76560
"13",111.64804238800,3837.000000,"4","0","4",81.01734585168822,223.97985421114916,11599.46650,6829112.65610
"13",111.64804238800,3837.000000,"5","0","5",100.40137494787037,223.75319521088019,11586.00930,6829098.70460
"13",111.64804238800,3837.000000,"6","0","6",106.03071286384248,223.59500809478763,11582.13150,6829094.62390
"13",111.64804238800,3837.000000,"7","0","7",111.64804238770476,223.65044163186101,11578.25410,6829090.55940
"14",115.02677134200,3837.000000,"0","0","0",0.00000000000000,223.55701000307923,11578.25410,6829090.55940
"14",115.02677134200,3837.000000,"1","0","1",10.67023099166893,225.56346095237728,11570.90150,6829082.82680
"14",115.02677134200,3837.000000,"2","0","2",32.21063945252776,227.56210281229713,11555.00250,6829068.29370
"14",115.02677134200,3837.000000,"3","0","3",57.51767939497842,227.56545172221220,11536.32800,6829051.21420
"14",115.02677134200,3837.000000,"4","0","4",62.86244623201248,227.56419483323165,11532.38260,6829047.60860
"14",115.02677134200,3837.000000,"5","0","5",78.63178590202250,236.29628399373055,11520.74660,6829036.96550
"14",115.02677134200,3837.000000,"6","0","6",115.02677134200854,245.04078804250341,11487.75060,6829021.60780
"15",59.40314469220,2558.000000,"0","0","0",0.00000000000000,180.33980391990968,11643.42540,6829273.93200
"15",59.40314469220,2558.000000,"1","0","1",59.40314469217984,180.33980391990968,11643.07310,6829214.52990
"16",40.96663916980,2558.000000,"0","0","0",0.00000000000000,278.52509480661769,11487.75060,6829021.60780
"16",40.96663916980,2558.000000,"1","0","1",20.48331958491505,278.52509480661769,11467.49360,6829024.64430
"16",40.96663916980,2558.000000,"2","0","2",40.96663916983011,278.52509480661769,11447.23660,6829027.68080
"17",52.06772591550,2558.000000,"0","0","0",0.00000000000000,257.87823577174765,11447.23660,6829027.68080
"17",52.06772591550,2558.000000,"1","0","1",52.06772591554302,257.87823577174765,11396.32980,6829016.74710
"18",91.37000703340,4663.000000,"0","0","0",0.00000000000000,257.87844741709529,11396.32980,6829016.74710
"18",91.37000703340,4663.000000,"1","0","1",6.92949788870243,247.24926142150892,11389.55480,6829015.29200
"18",91.37000703340,4663.000000,"2","0","2",19.62624442739198,236.63426146066465,11378.95250,6829008.30640
"18",91.37000703340,4663.000000,"3","0","3",91.37000703338040,236.64844749540663,11319.02400,6828968.86350
"19",3.84714745709,1846.000000,"0","0","0",0.00000000000000,152.89411817357703,10973.68050,6829648.16070
"19",3.84714745709,1846.000000,"1","0","1",3.84714745708574,152.89411817357703,10975.43340,6829644.73610
"20",47.46160997220,638.000000,"0","0","0",0.00000000000000,148.03543917037936,11368.80980,6829176.39450
"20",47.46160997220,638.000000,"1","0","1",11.24737536340524,160.97302759405886,11374.76410,6829166.85250
"20",47.46160997220,638.000000,"2","0","2",47.46160997224982,173.91061601773836,11378.60570,6829130.84260
"21",614.49723295300,450.000000,"0","0","0",0.00000000000000,152.89452311600527,10975.43340,6829644.73610
"21",614.49723295300,450.000000,"1","0","1",60.94616241660798,144.28587614907843,11003.20230,6829590.48370
"21",614.49723295300,450.000000,"2","0","2",329.02758478525817,135.67482393839614,11190.51070,6829398.69420
"21",614.49723295300,450.000000,"3","0","3",361.42555950260174,138.13008847375067,11213.14910,6829375.51810
"21",614.49723295300,450.000000,"4","0","4",566.97762191230913,144.31161747799038,11343.65320,6829216.70900
"21",614.49723295300,450.000000,"5","0","5",614.49723295300782,148.03547670312005,11368.80980,6829176.39450
"22",4.09907279181,1846.000000,"0","0","0",0.00000000000000,132.70141028187277,10973.68050,6829648.16070
